Message Type,Message
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Flash Sale: Up to 48% off on select items. Don't miss out!
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,Limited Time Offer: Free shipping on orders over $136!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Flash Sale: Up to 39% off on select items. Don't miss out!
Promotional,Get 57% off your next purchase with code SAVE10! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $138!
Promotional,"Buy more, save more: 56% off on purchases over $137."
Promotional,Hurry! 56% off on all items for the next 5 hours only! Shop now!
Promotional,Big Discounts! Save up to 19% on your favorite products!
Promotional,Shop now and save 14% on your first order! Use code WELCOME30.
Promotional,Hurry! 32% off on all items for the next 2 hours only! Shop now!
Promotional,Get 20% off when you subscribe to our newsletter today!
Promotional,Hurry! 56% off on all items for the next 6 hours only! Shop now!
Promotional,Hurry! 13% off on all items for the next 18 hours only! Shop now!
Promotional,Get 26% off your next purchase with code WELCOME30! Shop now!
Promotional,Hurry! 27% off on all items for the next 9 hours only! Shop now!
Promotional,Get 38% off your next purchase with code SAVE10! Shop now!
Promotional,Get 24% off your next purchase with code SAVE10! Shop now!
Promotional,Big Discounts! Save up to 35% on your favorite products!
Promotional,"Hurry, this offer ends soon! Up to 14% off select items."
Promotional,Shop now and save 65% on your first order! Use code SAVE10.
Promotional,Limited Time Offer: Free shipping on orders over $119!
Promotional,Flash Sale: Up to 33% off on select items. Don't miss out!
Promotional,Shop now and save 38% on your first order! Use code DISCOUNT20.
Promotional,Hurry! 49% off on all items for the next 15 hours only! Shop now!
Promotional,Get 48% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Shop now and save 31% on your first order! Use code WELCOME30.
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,Limited Time Offer: Free shipping on orders over $173!
Promotional,Limited Time Offer: Free shipping on orders over $169!
Promotional,Big Discounts! Save up to 20% on your favorite products!
Promotional,Limited Time Offer: Free shipping on orders over $106!
Promotional,Hurry! 53% off on all items for the next 4 hours only! Shop now!
Promotional,Get 37% off when you subscribe to our newsletter today!
Promotional,"Buy more, save more: 27% off on purchases over $112."
Promotional,Hurry! 27% off on all items for the next 21 hours only! Shop now!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Shop now and save 63% on your first order! Use code DISCOUNT20.
Promotional,Limited Time Offer: Free shipping on orders over $67!
Promotional,Flash Sale: Up to 36% off on select items. Don't miss out!
Promotional,Shop now and save 13% on your first order! Use code SAVE10.
Promotional,Hurry! 21% off on all items for the next 17 hours only! Shop now!
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,"Buy more, save more: 58% off on purchases over $141."
Promotional,"Buy more, save more: 16% off on purchases over $148."
Promotional,"Buy more, save more: 37% off on purchases over $133."
Promotional,Limited Time Offer: Free shipping on orders over $156!
Promotional,Get 24% off when you subscribe to our newsletter today!
Promotional,"Buy more, save more: 44% off on purchases over $83."
Promotional,"Buy more, save more: 47% off on purchases over $88."
Promotional,"Hurry, this offer ends soon! Up to 66% off select items."
Promotional,Limited Time Offer: Free shipping on orders over $112!
Promotional,Limited Time Offer: Free shipping on orders over $195!
Promotional,Get 55% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Get 17% off when you subscribe to our newsletter today!
Promotional,"Exclusive offer: Buy 3, Get 3 free on select products. Limited time!"
Promotional,Big Discounts! Save up to 32% on your favorite products!
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,Hurry! 66% off on all items for the next 14 hours only! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $69!
Promotional,"Buy more, save more: 52% off on purchases over $99."
Promotional,Flash Sale: Up to 14% off on select items. Don't miss out!
Promotional,"Hurry, this offer ends soon! Up to 21% off select items."
Promotional,Get 33% off when you subscribe to our newsletter today!
Promotional,Get 46% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $167!
Promotional,Big Discounts! Save up to 66% on your favorite products!
Promotional,Flash Sale: Up to 19% off on select items. Don't miss out!
Promotional,Get 29% off your next purchase with code WELCOME30! Shop now!
Promotional,"Buy more, save more: 17% off on purchases over $193."
Promotional,Limited Time Offer: Free shipping on orders over $193!
Promotional,"Hurry, this offer ends soon! Up to 21% off select items."
Promotional,"Exclusive offer: Buy 3, Get 3 free on select products. Limited time!"
Promotional,Get 31% off when you subscribe to our newsletter today!
Promotional,Get 42% off your next purchase with code WELCOME30! Shop now!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Big Discounts! Save up to 19% on your favorite products!
Promotional,Flash Sale: Up to 21% off on select items. Don't miss out!
Promotional,Flash Sale: Up to 28% off on select items. Don't miss out!
Promotional,Shop now and save 57% on your first order! Use code SAVE10.
Promotional,Shop now and save 41% on your first order! Use code DISCOUNT20.
Promotional,Flash Sale: Up to 35% off on select items. Don't miss out!
Promotional,Get 12% off when you subscribe to our newsletter today!
Promotional,"Hurry, this offer ends soon! Up to 26% off select items."
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Hurry! 50% off on all items for the next 15 hours only! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $197!
Promotional,Flash Sale: Up to 26% off on select items. Don't miss out!
Promotional,Hurry! 68% off on all items for the next 15 hours only! Shop now!
Promotional,"Buy more, save more: 15% off on purchases over $171."
Promotional,"Buy more, save more: 69% off on purchases over $59."
Promotional,Get 46% off when you subscribe to our newsletter today!
Promotional,"Hurry, this offer ends soon! Up to 38% off select items."
Promotional,Get 15% off your next purchase with code SAVE10! Shop now!
Promotional,"Buy more, save more: 19% off on purchases over $86."
Promotional,Flash Sale: Up to 49% off on select items. Don't miss out!
Promotional,Limited Time Offer: Free shipping on orders over $189!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Get 49% off when you subscribe to our newsletter today!
Promotional,Limited Time Offer: Free shipping on orders over $169!
Promotional,Get 45% off when you subscribe to our newsletter today!
Promotional,Limited Time Offer: Free shipping on orders over $143!
Promotional,Flash Sale: Up to 33% off on select items. Don't miss out!
Promotional,Big Discounts! Save up to 52% on your favorite products!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Limited Time Offer: Free shipping on orders over $83!
Promotional,Hurry! 15% off on all items for the next 19 hours only! Shop now!
Promotional,Get 63% off your next purchase with code DISCOUNT20! Shop now!
Promotional,"Hurry, this offer ends soon! Up to 12% off select items."
Promotional,"Exclusive offer: Buy 3, Get 3 free on select products. Limited time!"
Promotional,Get 70% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Big Discounts! Save up to 36% on your favorite products!
Promotional,Get 54% off when you subscribe to our newsletter today!
Promotional,Hurry! 60% off on all items for the next 13 hours only! Shop now!
Promotional,Get 66% off when you subscribe to our newsletter today!
Promotional,Big Discounts! Save up to 21% on your favorite products!
Promotional,Hurry! 55% off on all items for the next 19 hours only! Shop now!
Promotional,"Buy more, save more: 60% off on purchases over $116."
Promotional,"Hurry, this offer ends soon! Up to 12% off select items."
Promotional,Get 17% off when you subscribe to our newsletter today!
Promotional,Hurry! 42% off on all items for the next 22 hours only! Shop now!
Promotional,Big Discounts! Save up to 34% on your favorite products!
Promotional,Flash Sale: Up to 29% off on select items. Don't miss out!
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,"Buy more, save more: 62% off on purchases over $108."
Promotional,"Hurry, this offer ends soon! Up to 68% off select items."
Promotional,Shop now and save 40% on your first order! Use code SAVE10.
Promotional,Get 47% off when you subscribe to our newsletter today!
Promotional,"Hurry, this offer ends soon! Up to 12% off select items."
Promotional,"Buy more, save more: 12% off on purchases over $143."
Promotional,Big Discounts! Save up to 16% on your favorite products!
Promotional,Limited Time Offer: Free shipping on orders over $81!
Promotional,"Hurry, this offer ends soon! Up to 50% off select items."
Promotional,"Hurry, this offer ends soon! Up to 23% off select items."
Promotional,Hurry! 60% off on all items for the next 20 hours only! Shop now!
Promotional,Shop now and save 49% on your first order! Use code WELCOME30.
Promotional,"Hurry, this offer ends soon! Up to 11% off select items."
Promotional,Get 42% off when you subscribe to our newsletter today!
Promotional,Get 27% off when you subscribe to our newsletter today!
Promotional,Shop now and save 28% on your first order! Use code WELCOME30.
Promotional,Hurry! 66% off on all items for the next 17 hours only! Shop now!
Promotional,"Exclusive offer: Buy 3, Get 3 free on select products. Limited time!"
Promotional,"Hurry, this offer ends soon! Up to 58% off select items."
Promotional,Shop now and save 38% on your first order! Use code DISCOUNT20.
Promotional,Flash Sale: Up to 29% off on select items. Don't miss out!
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,Get 20% off when you subscribe to our newsletter today!
Promotional,Get 19% off your next purchase with code SAVE10! Shop now!
Promotional,Big Discounts! Save up to 38% on your favorite products!
Promotional,"Hurry, this offer ends soon! Up to 68% off select items."
Promotional,Flash Sale: Up to 37% off on select items. Don't miss out!
Promotional,Flash Sale: Up to 56% off on select items. Don't miss out!
Promotional,"Hurry, this offer ends soon! Up to 52% off select items."
Promotional,Shop now and save 49% on your first order! Use code SAVE10.
Promotional,Get 10% off your next purchase with code DISCOUNT20! Shop now!
Promotional,"Hurry, this offer ends soon! Up to 61% off select items."
Promotional,"Buy more, save more: 30% off on purchases over $101."
Promotional,Get 14% off when you subscribe to our newsletter today!
Promotional,Limited Time Offer: Free shipping on orders over $77!
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,Limited Time Offer: Free shipping on orders over $132!
Promotional,Get 45% off when you subscribe to our newsletter today!
Promotional,"Exclusive offer: Buy 3, Get 3 free on select products. Limited time!"
Promotional,Flash Sale: Up to 69% off on select items. Don't miss out!
Promotional,Big Discounts! Save up to 33% on your favorite products!
Promotional,"Buy more, save more: 50% off on purchases over $62."
Promotional,Flash Sale: Up to 67% off on select items. Don't miss out!
Promotional,Get 54% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $146!
Promotional,Shop now and save 64% on your first order! Use code SAVE10.
Promotional,Flash Sale: Up to 63% off on select items. Don't miss out!
Promotional,Shop now and save 13% on your first order! Use code DISCOUNT20.
Promotional,Big Discounts! Save up to 47% on your favorite products!
Promotional,Get 10% off your next purchase with code SAVE10! Shop now!
Promotional,Shop now and save 35% on your first order! Use code WELCOME30.
Promotional,Get 57% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Flash Sale: Up to 19% off on select items. Don't miss out!
Promotional,Flash Sale: Up to 45% off on select items. Don't miss out!
Promotional,Limited Time Offer: Free shipping on orders over $106!
Promotional,Shop now and save 65% on your first order! Use code DISCOUNT20.
Promotional,Hurry! 68% off on all items for the next 20 hours only! Shop now!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,"Hurry, this offer ends soon! Up to 27% off select items."
Promotional,Flash Sale: Up to 46% off on select items. Don't miss out!
Promotional,Get 46% off your next purchase with code WELCOME30! Shop now!
Promotional,"Hurry, this offer ends soon! Up to 30% off select items."
Promotional,Hurry! 18% off on all items for the next 15 hours only! Shop now!
Promotional,"Hurry, this offer ends soon! Up to 41% off select items."
Promotional,Shop now and save 39% on your first order! Use code DISCOUNT20.
Promotional,Get 41% off your next purchase with code SAVE10! Shop now!
Promotional,Hurry! 14% off on all items for the next 13 hours only! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $182!
Promotional,Hurry! 69% off on all items for the next 12 hours only! Shop now!
Promotional,Shop now and save 36% on your first order! Use code SAVE10.
Promotional,Limited Time Offer: Free shipping on orders over $70!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Limited Time Offer: Free shipping on orders over $198!
Promotional,"Hurry, this offer ends soon! Up to 67% off select items."
Promotional,Hurry! 23% off on all items for the next 1 hours only! Shop now!
Promotional,Hurry! 64% off on all items for the next 1 hours only! Shop now!
Promotional,Flash Sale: Up to 53% off on select items. Don't miss out!
Promotional,Big Discounts! Save up to 49% on your favorite products!
Promotional,Get 57% off when you subscribe to our newsletter today!
Promotional,Get 54% off your next purchase with code WELCOME30! Shop now!
Promotional,Get 22% off when you subscribe to our newsletter today!
Promotional,"Exclusive offer: Buy 3, Get 3 free on select products. Limited time!"
Promotional,Get 60% off when you subscribe to our newsletter today!
Promotional,Flash Sale: Up to 50% off on select items. Don't miss out!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Hurry! 66% off on all items for the next 14 hours only! Shop now!
Promotional,Big Discounts! Save up to 56% on your favorite products!
Promotional,Get 20% off your next purchase with code WELCOME30! Shop now!
Promotional,Get 24% off your next purchase with code SAVE10! Shop now!
Promotional,Big Discounts! Save up to 51% on your favorite products!
Promotional,Limited Time Offer: Free shipping on orders over $150!
Promotional,"Buy more, save more: 37% off on purchases over $85."
Promotional,Get 34% off your next purchase with code WELCOME30! Shop now!
Promotional,Shop now and save 30% on your first order! Use code WELCOME30.
Promotional,Hurry! 25% off on all items for the next 23 hours only! Shop now!
Promotional,"Buy more, save more: 58% off on purchases over $104."
Promotional,Shop now and save 53% on your first order! Use code DISCOUNT20.
Promotional,"Hurry, this offer ends soon! Up to 37% off select items."
Promotional,"Buy more, save more: 68% off on purchases over $61."
Promotional,Hurry! 58% off on all items for the next 1 hours only! Shop now!
Promotional,"Hurry, this offer ends soon! Up to 27% off select items."
Promotional,Get 36% off when you subscribe to our newsletter today!
Promotional,Hurry! 39% off on all items for the next 21 hours only! Shop now!
Promotional,"Buy more, save more: 15% off on purchases over $160."
Promotional,Hurry! 48% off on all items for the next 22 hours only! Shop now!
Promotional,Get 63% off your next purchase with code SAVE10! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $105!
Promotional,Flash Sale: Up to 35% off on select items. Don't miss out!
Promotional,Get 35% off when you subscribe to our newsletter today!
Promotional,Hurry! 45% off on all items for the next 10 hours only! Shop now!
Promotional,Big Discounts! Save up to 48% on your favorite products!
Promotional,Shop now and save 25% on your first order! Use code DISCOUNT20.
Promotional,Limited Time Offer: Free shipping on orders over $128!
Promotional,Flash Sale: Up to 32% off on select items. Don't miss out!
Promotional,"Buy more, save more: 45% off on purchases over $91."
Promotional,Hurry! 56% off on all items for the next 17 hours only! Shop now!
Promotional,Big Discounts! Save up to 59% on your favorite products!
Promotional,"Exclusive offer: Buy 3, Get 3 free on select products. Limited time!"
Promotional,Shop now and save 57% on your first order! Use code SAVE10.
Promotional,Flash Sale: Up to 24% off on select items. Don't miss out!
Promotional,Get 52% off your next purchase with code SAVE10! Shop now!
Promotional,Shop now and save 31% on your first order! Use code DISCOUNT20.
Promotional,Hurry! 28% off on all items for the next 16 hours only! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $177!
Promotional,Get 55% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Big Discounts! Save up to 20% on your favorite products!
Promotional,Limited Time Offer: Free shipping on orders over $87!
Promotional,Flash Sale: Up to 24% off on select items. Don't miss out!
Promotional,Get 23% off your next purchase with code SAVE10! Shop now!
Promotional,Get 44% off your next purchase with code DISCOUNT20! Shop now!
Promotional,"Buy more, save more: 20% off on purchases over $122."
Promotional,Limited Time Offer: Free shipping on orders over $141!
Promotional,Flash Sale: Up to 16% off on select items. Don't miss out!
Promotional,Flash Sale: Up to 46% off on select items. Don't miss out!
Promotional,Flash Sale: Up to 53% off on select items. Don't miss out!
Promotional,Hurry! 70% off on all items for the next 8 hours only! Shop now!
Promotional,"Exclusive offer: Buy 1, Get 1 free on select products. Limited time!"
Promotional,"Buy more, save more: 11% off on purchases over $57."
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,"Buy more, save more: 57% off on purchases over $59."
Promotional,Get 60% off when you subscribe to our newsletter today!
Promotional,Big Discounts! Save up to 12% on your favorite products!
Promotional,Get 31% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $98!
Promotional,Limited Time Offer: Free shipping on orders over $94!
Promotional,"Hurry, this offer ends soon! Up to 33% off select items."
Promotional,Get 56% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Big Discounts! Save up to 26% on your favorite products!
Promotional,Get 42% off your next purchase with code DISCOUNT20! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $185!
Promotional,Get 37% off when you subscribe to our newsletter today!
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,"Buy more, save more: 34% off on purchases over $126."
Promotional,Get 25% off when you subscribe to our newsletter today!
Promotional,"Buy more, save more: 57% off on purchases over $165."
Promotional,Hurry! 30% off on all items for the next 23 hours only! Shop now!
Promotional,"Buy more, save more: 42% off on purchases over $140."
Promotional,"Hurry, this offer ends soon! Up to 34% off select items."
Promotional,Flash Sale: Up to 29% off on select items. Don't miss out!
Promotional,"Hurry, this offer ends soon! Up to 35% off select items."
Promotional,"Buy more, save more: 35% off on purchases over $156."
Promotional,"Exclusive offer: Buy 2, Get 2 free on select products. Limited time!"
Promotional,Shop now and save 37% on your first order! Use code SAVE10.
Promotional,Shop now and save 11% on your first order! Use code SAVE10.
Promotional,Get 46% off when you subscribe to our newsletter today!
Promotional,Hurry! 61% off on all items for the next 15 hours only! Shop now!
Promotional,"Buy more, save more: 21% off on purchases over $80."
Promotional,Get 59% off your next purchase with code WELCOME30! Shop now!
Promotional,Flash Sale: Up to 61% off on select items. Don't miss out!
Promotional,Limited Time Offer: Free shipping on orders over $195!
Promotional,Get 26% off when you subscribe to our newsletter today!
Promotional,Hurry! 35% off on all items for the next 23 hours only! Shop now!
Promotional,Limited Time Offer: Free shipping on orders over $169!
Promotional,Limited Time Offer: Free shipping on orders over $110!
Promotional,Big Discounts! Save up to 26% on your favorite products!
Promotional,Limited Time Offer: Free shipping on orders over $147!
Promotional,Hurry! 32% off on all items for the next 18 hours only! Shop now!
